_X,_Y,ID,TEXTSTRING
1039.12187,528.00000,1,A
592.87813,528.00000,2,B
1018.20520,526.00000,3,716262_1
970.87187,596.72912,4,1
964.87187,595.70063,5,2
891.87187,627.36482,6,3
818.87187,605.42096,7,4
745.87187,628.70416,8,5
672.87187,637.97691,9,6
600.87187,583.93728,10,7
776.84786,324.67967,11,A
955.39304,347.51858,12,B
2.38235,8.31250,13,A
2.79412,8.31250,14,B
2.08824,8.31250,15,#
1.08824,8.31250,16,#
1.79412,8.31250,17,B
1.38235,8.31250,18,A
2.00000,8.43750,19,A & B DISTANCES AS ENTERED
1046.94585,528.00000,20,A
585.05415,528.00000,21,B
